arm,source,target,seed,dataset,status,missing_reason,clips_expected,clips_scored,frames,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,estimated_total,matched_nodes,edge_weight,adjusted_edge_contribution,edge_jaccard,adj_edge_jaccard,division_jaccard,score,delta_C00,delta_C01,disabled_policy,accepted_actions,changed_edges,introduced_division_fp,newly_recovered_division_tp,lost_division_tp,metric_revision
C00,44b6,6bba,20260918,6bba_f1fde7e0,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_f20478e9,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_f4ae811c,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_f8ffd5e7,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_fbc898dc,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_fc516dc6,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_fc5f39dc,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_fc83837d,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_fe670320,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C01,44b6,6bba,20260918,6bba_05b6850b,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
