dataset,embryo,bucket,events
44b6_cf8fed6b,44b6,wrong_timing,0
44b6_d29c9ab2,44b6,C0_official_recovered,0
44b6_d29c9ab2,44b6,available_unselected_evidence,0
44b6_d29c9ab2,44b6,conflict_or_protection_loss,0
44b6_d29c9ab2,44b6,insufficient_candidates,0
44b6_d29c9ab2,44b6,missing_daughter,0
44b6_d29c9ab2,44b6,missing_downstream_path,0
44b6_d29c9ab2,44b6,missing_parent,0
44b6_d29c9ab2,44b6,unsupported_HOCT_score,0
44b6_d29c9ab2,44b6,wrong_timing,0
44b6_d2f34f90,44b6,C0_official_recovered,0
44b6_d2f34f90,44b6,available_unselected_evidence,1
44b6_d2f34f90,44b6,conflict_or_protection_loss,0
44b6_d2f34f90,44b6,insufficient_candidates,0
44b6_d2f34f90,44b6,missing_daughter,0
44b6_d2f34f90,44b6,missing_downstream_path,0
44b6_d2f34f90,44b6,missing_parent,0
44b6_d2f34f90,44b6,unsupported_HOCT_score,1
44b6_d2f34f90,44b6,wrong_timing,0
44b6_d5e7d891,44b6,C0_official_recovered,0
44b6_d5e7d891,44b6,available_unselected_evidence,2
44b6_d5e7d891,44b6,conflict_or_protection_loss,0
44b6_d5e7d891,44b6,insufficient_candidates,0
44b6_d5e7d891,44b6,missing_daughter,0
44b6_d5e7d891,44b6,missing_downstream_path,0
44b6_d5e7d891,44b6,missing_parent,0
44b6_d5e7d891,44b6,unsupported_HOCT_score,0
44b6_d5e7d891,44b6,wrong_timing,0
44b6_d754aa59,44b6,C0_official_recovered,1
44b6_d754aa59,44b6,available_unselected_evidence,0
44b6_d754aa59,44b6,conflict_or_protection_loss,0
44b6_d754aa59,44b6,insufficient_candidates,0
44b6_d754aa59,44b6,missing_daughter,0
44b6_d754aa59,44b6,missing_downstream_path,0
44b6_d754aa59,44b6,missing_parent,0
44b6_d754aa59,44b6,unsupported_HOCT_score,0
44b6_d754aa59,44b6,wrong_timing,0
44b6_d78e09d9,44b6,C0_official_recovered,0
44b6_d78e09d9,44b6,available_unselected_evidence,0
44b6_d78e09d9,44b6,conflict_or_protection_loss,0
44b6_d78e09d9,44b6,insufficient_candidates,0
44b6_d78e09d9,44b6,missing_daughter,0
44b6_d78e09d9,44b6,missing_downstream_path,0
44b6_d78e09d9,44b6,missing_parent,0
44b6_d78e09d9,44b6,unsupported_HOCT_score,0
44b6_d78e09d9,44b6,wrong_timing,0
44b6_db3c847b,44b6,C0_official_recovered,0
44b6_db3c847b,44b6,available_unselected_evidence,0
