variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,delta_v2
R_heatmap_local,pooled,199,199,0.9193650841099146,0.11934156378600823,29,92,122,0.982494434312724,0.9222721585917395,199,0.9342063149703403,123023,4930,5860,4108943,216.55882635805756,0.0
R_image_local,44b6,71,71,0.9020995743459754,0.14893617021276595,7,21,19,0.9876112953570917,0.9169550896845458,71,0.9318487067058223,18862,1083,964,1973460,88.1830951361917,0.00023631992849137973
R_image_local,6bba,128,128,0.9225441308025473,0.11282051282051282,22,70,103,0.9795750078652565,0.9232233562316943,128,0.9345054075137456,104158,3846,4899,2136616,128.2888978496194,-1.9842355787447197e-05
R_image_local,pooled,199,199,0.9193495351687442,0.11983471074380166,29,91,122,0.9824422260156097,0.9222438985953513,199,0.9342273696697314,123020,4929,5863,4110076,216.47199298581108,2.1054699391065412e-05
R_image_persistent,44b6,71,71,0.9020995743459754,0.14893617021276595,7,21,19,0.9876112953570917,0.9169680261744626,71,0.9318616431957392,18862,1083,964,1972971,87.7598702693358,0.000249256418408228
R_image_persistent,6bba,128,128,0.9225441308025473,0.11282051282051282,22,70,103,0.9795750078652565,0.9232280299574058,128,0.9345100812394571,104158,3846,4899,2136487,125.93862004950643,-1.51686300758902e-05
R_image_persistent,pooled,199,199,0.9193495351687442,0.11983471074380166,29,91,122,0.9824422260156097,0.9222498634320004,199,0.9342333345063806,123020,4929,5863,4109458,213.69849031884223,2.701953604022922e-05
R_native_restore,44b6,71,71,0.9021520803443328,0.14583333333333334,7,22,19,0.9877569341470968,0.9170232708331365,71,0.9316066041664698,18864,1084,962,1972953,86.98965427093208,-5.782610861149173e-06
R_native_restore,6bba,128,128,0.9225359597534188,0.11282051282051282,22,70,103,0.9795753914358454,0.9232200234135951,128,0.9345020746956464,104158,3847,4899,2136487,129.280932742171,-2.317517388661372e-05
R_native_restore,pooled,199,199,0.9193507405802084,0.11934156378600823,29,92,122,0.982494434312724,0.9222517084655524,199,0.9341858648441532,123022,4931,5861,4109440,216.27058701310307,-2.0450126187121498e-05
historical_v1,44b6,71,71,0.8881690940041611,0.09803921568627451,5,25,21,0.9885509592005769,0.9027172215448382,71,0.9125211431134657,18783,1322,1043,1980130,90.32724700635299,-0.019091243663865276
historical_v1,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,130.02244879119098,-0.02292848498006783
historical_v1,pooled,199,199,0.9000721819574569,0.09274193548387097,23,97,128,0.9832109431769471,0.9024998206702552,199,0.9117740142186423,122201,6885,6682,4133687,220.34969579754397,-0.022432300751697998
incumbent,44b6,71,71,0.9021520803443328,0.14583333333333334,7,22,19,0.9877569341470968,0.9170290534439977,71,0.9316123867773309,18864,1084,962,1972750,88.40396279888228,0.0
incumbent,6bba,128,128,0.9225529879631188,0.11282051282051282,22,70,103,0.9795753914358454,0.9232431985874817,128,0.934525249869533,104159,3846,4898,2136193,127.14042465249076,0.0
incumbent,pooled,199,199,0.9193650841099146,0.11934156378600823,29,92,122,0.982494434312724,0.9222721585917395,199,0.9342063149703403,123023,4930,5860,4108943,215.54438745137304,0.0
no_motion_no_gaps,44b6,71,71,0.8941103355961373,0.14285714285714285,8,30,18,0.9838762488717394,0.9110986664181426,71,0.9253843807038569,18703,1092,1123,1905107,83.23932410730049,-0.006228006073474068
no_motion_no_gaps,6bba,128,128,0.9197932550799673,0.115,23,75,102,0.9766619284688902,0.9219724302280407,128,0.9334724302280406,103749,3739,5308,2091488,127.03089765459299,-0.0010528196414923974
no_motion_no_gaps,pooled,199,199,0.9157754610586775,0.12109375,31,105,120,0.9792358819794545,0.920271356358622,199,0.932380731358622,122452,4831,6431,3996595,210.27022176189348,-0.0018255836117183621
no_motion_no_pruning,44b6,71,71,0.9041561050265436,0.14583333333333334,7,22,19,0.9920788883594857,0.916777807278836,71,0.9313611406121692,18905,1083,921,2047090,89.36629068059847,-0.0002512461651617004
no_motion_no_pruning,6bba,128,128,0.9247173803348058,0.11282051282051282,22,70,103,0.9841906410764261,0.9225539466000664,128,0.9338359978821177,104457,3904,4600,2210640,132.79221641272306,-0.000689251987415318
no_motion_no_pruning,pooled,199,199,0.9215059385971465,0.11934156378600823,29,92,122,0.9870050408608343,0.9216517781002711,199,0.933585934478872,123362,4987,5521,4257730,222.15850709332153,-0.0006203804914683975
no_motion_no_safe_divisions,44b6,71,71,0.9016126716753601,0.0,0,0,26,0.986724072377638,0.9165281472386602,71,0.9165281472386602,18841,1071,985,1971915,86.25622964790091,-0.015084239538670774
no_motion_no_safe_divisions,6bba,128,128,0.9226937972473568,0.0,0,0,125,0.9793599548872061,0.9234254561106094,128,0.9234254561106094,104114,3780,4943,2135204,129.3479131758213,-0.01109979375892356
no_motion_no_safe_divisions,pooled,199,199,0.9193997038898111,0.0,0,0,151,0.9819873535898225,0.9223476968011061,199,0.9223476968011061,122955,4851,5928,4107119,215.6041428237222,-0.01185861816923428
no_motion_no_safe_divisions_no_smoothing,44b6,71,71,0.8964019851116626,0.0,0,0,26,0.9854720518111223,0.9111659156958992,71,0.9111659156958992,18785,1130,1041,1971915,86.64119541691616,-0.020446471081431716
no_motion_no_safe_divisions_no_smoothing,6bba,128,128,0.9163900268399492,0.0,0,0,125,0.9784891324752295,0.9171488891453701,128,0.9171488891453701,103794,4207,5263,2135204,129.24435941083357,-0.01737636072416293
no_motion_no_safe_divisions_no_smoothing,pooled,199,199,0.913269259424825,0.0,0,0,151,0.9809805258061258,0.9162147571858476,199,0.9162147571858476,122579,5337,6304,4107119,215.88555482774973,-0.017991557784492795
no_motion_no_smoothing,44b6,71,71,0.8962722852512156,0.125,6,22,20,0.9864501425779454,0.9109878364181085,71,0.9234878364181085,18802,1152,1024,1972750,86.37196886446327,-0.008124550359222438
no_motion_no_smoothing,6bba,128,128,0.9161769636649196,0.11282051282051282,22,70,103,0.9786587695291666,0.9168951966450689,128,0.9281772479271202,103834,4277,5223,2136193,129.2471938864328,-0.0063480019424128065
no_motion_no_smoothing,pooled,199,199,0.9130680802906666,0.11522633744855967,28,92,123,0.9814386061445601,0.9159725344641678,199,0.9274951682090238,122636,5429,6247,4108943,215.61916275089607,-0.0067111467613165665
