dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
44b6_eb2880fc,44b6,0.9572780531603706,367,13,12,0,1,1,37271,0.9572780531603706,367,13,12,0,1,1,37271,0.0,0,0,0,0,0,0,0
44b6_f28707c6,44b6,0.9520088668179052,60,1,1,0,0,0,21689,0.9520088668179052,60,1,1,0,0,0,21689,0.0,0,0,0,0,0,0,0
6bba_062c8d37,6bba,1.0000256780613064,897,1,1,1,0,0,5894,1.0000256780613064,897,1,1,1,0,0,5894,0.0,0,0,0,0,0,0,0
6bba_07e24132,6bba,0.823420477089888,309,17,36,0,0,2,29079,0.823420477089888,309,17,36,0,0,2,29079,0.0,0,0,0,0,0,0,0
6bba_085bf656,6bba,0.9954038443864748,1162,2,6,0,0,1,8272,0.9954038443864748,1162,2,6,0,0,1,8272,0.0,0,0,0,0,0,0,0
6bba_0c7fa718,6bba,0.9574381868131868,638,13,21,0,1,0,12495,0.9574381868131868,638,13,21,0,1,0,12495,0.0,0,0,0,0,0,0,0
6bba_0e7c0d07,6bba,0.8156018126997785,176,18,22,0,0,1,22250,0.8156018126997785,176,18,22,0,0,1,22250,0.0,0,0,0,0,0,0,0
6bba_1ebfb80d,6bba,0.934807892420506,689,19,30,0,1,0,11409,0.934807892420506,689,19,30,0,1,0,11409,0.0,0,0,0,0,0,0,0
6bba_1f58c2f6,6bba,0.7994063606560579,269,34,30,0,0,0,31909,0.7994063606560579,269,34,30,0,0,0,31909,0.0,0,0,0,0,0,0,0
6bba_20852818,6bba,0.9004955750046651,846,29,63,0,2,3,9912,0.9004955750046651,846,29,63,0,2,3,9912,0.0,0,0,0,0,0,0,0
6bba_2312ac41,6bba,0.982771871100345,1124,8,8,2,0,0,12337,0.982771871100345,1124,8,8,2,0,0,12337,0.0,0,0,0,0,0,0,0
6bba_23af9eeb,6bba,1.006921348314607,499,0,0,0,0,0,4142,1.006921348314607,499,0,0,0,0,0,4142,0.0,0,0,0,0,0,0,0
6bba_2540cd90,6bba,1.008009516256939,523,0,0,0,0,0,3480,1.008009516256939,523,0,0,0,0,0,3480,0.0,0,0,0,0,0,0,0
6bba_312f0dc3,6bba,0.9423988758406104,488,20,12,0,1,0,9545,0.9423988758406104,488,20,12,0,1,0,9545,0.0,0,0,0,0,0,0,0
6bba_372c8cb8,6bba,1.0023549439636827,1003,0,4,0,0,0,6575,1.0023549439636827,1003,0,4,0,0,0,6575,0.0,0,0,0,0,0,0,0
6bba_3c5691b6,6bba,0.990028933631618,742,4,4,1,0,1,6214,0.990028933631618,742,4,4,1,0,1,6214,0.0,0,0,0,0,0,0,0
6bba_3db54e20,6bba,0.8747900880188975,443,33,31,0,1,1,22964,0.8747900880188975,443,33,31,0,1,1,22964,0.0,0,0,0,0,0,0,0
6bba_48816121,6bba,0.939875651992489,888,22,30,0,0,5,25184,0.939875651992489,888,22,30,0,0,5,25184,0.0,0,0,0,0,0,0,0
6bba_4aa14c89,6bba,0.9137775025201886,650,27,31,0,0,0,7105,0.9137775025201886,650,27,31,0,0,0,7105,0.0,0,0,0,0,0,0,0
6bba_4f99ce20,6bba,0.996815083710589,1000,3,10,1,0,1,5382,0.996815083710589,1000,3,10,1,0,1,5382,0.0,0,0,0,0,0,0,0
6bba_4ffd3da3,6bba,0.8962305483822748,650,26,39,1,2,2,20132,0.8962305483822748,650,26,39,1,2,2,20132,0.0,0,0,0,0,0,0,0
6bba_55b7eebe,6bba,1.004277857266915,684,2,4,0,0,1,4569,1.004277857266915,684,2,4,0,0,1,4569,0.0,0,0,0,0,0,0,0
6bba_55c70843,6bba,0.7331842040762557,397,71,70,0,1,0,37687,0.7331842040762557,397,71,70,0,1,0,37687,0.0,0,0,0,0,0,0,0
6bba_5c039895,6bba,0.9895256815346494,1136,12,9,3,1,0,7900,0.9895256815346494,1136,12,9,3,1,0,7900,0.0,0,0,0,0,0,0,0
6bba_5c824876,6bba,0.9338772647870118,1094,38,36,1,0,0,25375,0.9338772647870118,1094,38,36,1,0,0,25375,0.0,0,0,0,0,0,0,0
6bba_5dfe9ad1,6bba,0.9491422212313751,1439,13,48,0,0,0,29772,0.9491422212313751,1439,13,48,0,0,0,29772,0.0,0,0,0,0,0,0,0
6bba_5f89039d,6bba,1.004012144870961,885,0,0,0,0,0,4426,1.004012144870961,885,0,0,0,0,0,4426,0.0,0,0,0,0,0,0,0
6bba_61dd1e0d,6bba,0.9653021040822404,530,9,13,0,0,0,9584,0.9653021040822404,530,9,13,0,0,0,9584,0.0,0,0,0,0,0,0,0
6bba_6479435d,6bba,0.727893043184056,472,66,108,0,0,0,24338,0.727893043184056,472,66,108,0,0,0,24338,0.0,0,0,0,0,0,0,0
6bba_6db0e9b4,6bba,0.9610631917850214,430,12,10,0,0,0,25525,0.9610631917850214,430,12,10,0,0,0,25525,0.0,0,0,0,0,0,0,0
6bba_6feeb0b1,6bba,0.9871409209612906,1323,9,20,0,1,0,6858,0.9871409209612906,1323,9,20,0,1,0,6858,0.0,0,0,0,0,0,0,0
6bba_705ec2c9,6bba,0.914933447098976,539,24,23,0,3,1,5896,0.914933447098976,539,24,23,0,3,1,5896,0.0,0,0,0,0,0,0,0
6bba_718b21f9,6bba,0.999998967056953,649,0,3,0,0,0,4107,0.999998967056953,649,0,3,0,0,0,4107,0.0,0,0,0,0,0,0,0
6bba_76db78c1,6bba,1.0042636457260556,604,0,0,0,0,0,4648,1.0042636457260556,604,0,0,0,0,0,4648,0.0,0,0,0,0,0,0,0
6bba_784a78c9,6bba,0.9948007669039014,1729,4,10,0,2,1,12722,0.9948007669039014,1729,4,10,0,2,1,12722,0.0,0,0,0,0,0,0,0
6bba_789f8168,6bba,0.9825051415164568,675,6,6,0,0,0,10679,0.9825051415164568,675,6,6,0,0,0,10679,0.0,0,0,0,0,0,0,0
6bba_7d3058ae,6bba,0.99516775308205,1168,3,5,0,0,2,7460,0.99516775308205,1168,3,5,0,0,2,7460,0.0,0,0,0,0,0,0,0
6bba_7f87b3d8,6bba,0.9668979463010416,912,20,22,0,0,3,9372,0.9668979463010416,912,20,22,0,0,3,9372,0.0,0,0,0,0,0,0,0
6bba_87289e13,6bba,0.9751586412770354,688,11,11,0,2,1,14017,0.9751586412770354,688,11,11,0,2,1,14017,0.0,0,0,0,0,0,0,0
6bba_8b7818bf,6bba,1.0015678886706267,724,0,1,1,0,1,5656,1.0015678886706267,724,0,1,1,0,1,5656,0.0,0,0,0,0,0,0,0
6bba_907271db,6bba,0.9930529893770556,914,5,7,0,0,1,6861,0.9930529893770556,914,5,7,0,0,1,6861,0.0,0,0,0,0,0,0,0
6bba_96833384,6bba,0.9745108037478488,705,4,16,0,1,0,4764,0.9745108037478488,705,4,16,0,1,0,4764,0.0,0,0,0,0,0,0,0
6bba_ae82a791,6bba,0.9921666335426366,1464,10,7,0,2,0,7130,0.9921666335426366,1464,10,7,0,2,0,7130,0.0,0,0,0,0,0,0,0
6bba_af149c94,6bba,0.958987028360962,1272,26,45,0,0,0,7815,0.958987028360962,1272,26,45,0,0,0,7815,0.0,0,0,0,0,0,0,0
6bba_afb141ff,6bba,0.9579385786321042,613,19,13,1,1,3,5573,0.9579385786321042,613,19,13,1,1,3,5573,0.0,0,0,0,0,0,0,0
6bba_b1ae37b9,6bba,0.888425672495319,546,39,33,0,0,0,22942,0.888425672495319,546,39,33,0,0,0,22942,0.0,0,0,0,0,0,0,0
6bba_bbb708ca,6bba,0.9920387428696196,854,3,7,0,1,0,6537,0.9920387428696196,854,3,7,0,1,0,6537,0.0,0,0,0,0,0,0,0
6bba_c27cba08,6bba,0.9473717748811342,478,12,15,0,0,0,6388,0.9473717748811342,478,12,15,0,0,0,6388,0.0,0,0,0,0,0,0,0
6bba_cdcfe533,6bba,0.9864062669721236,1335,12,13,1,2,3,28332,0.9864062669721236,1335,12,13,1,2,3,28332,0.0,0,0,0,0,0,0,0
6bba_cf35214c,6bba,0.9932757306936784,815,3,2,0,0,0,35110,0.9932757306936784,815,3,2,0,0,0,35110,0.0,0,0,0,0,0,0,0
6bba_cff5865f,6bba,0.9409163941994662,1455,43,46,0,1,0,47071,0.9409163941994662,1455,43,46,0,1,0,47071,0.0,0,0,0,0,0,0,0
6bba_d2b9fc0c,6bba,0.9948066731947734,917,7,4,0,2,2,18818,0.9948066731947734,917,7,4,0,2,2,18818,0.0,0,0,0,0,0,0,0
6bba_d5eae175,6bba,1.0086302279265325,519,0,0,0,0,0,4129,1.0086302279265325,519,0,0,0,0,0,4129,0.0,0,0,0,0,0,0,0
6bba_d6ecebbb,6bba,0.9652431243190532,849,6,13,0,0,0,6064,0.9652431243190532,849,6,13,0,0,0,6064,0.0,0,0,0,0,0,0,0
6bba_d82a4fc6,6bba,0.9249781806708924,509,18,21,0,0,0,28866,0.9249781806708924,509,18,21,0,0,0,28866,0.0,0,0,0,0,0,0,0
6bba_debd7bfa,6bba,0.979663590319233,719,5,10,1,0,3,11795,0.979663590319233,719,5,10,1,0,3,11795,0.0,0,0,0,0,0,0,0
6bba_df673a83,6bba,0.970708099186212,647,3,7,2,0,2,21988,0.970708099186212,647,3,7,2,0,2,21988,0.0,0,0,0,0,0,0,0
6bba_e16ffc58,6bba,0.987718316476897,934,10,8,0,0,1,5937,0.987718316476897,934,10,8,0,0,1,5937,0.0,0,0,0,0,0,0,0
6bba_ebdf3b34,6bba,0.9059699951763412,761,33,42,0,1,2,59543,0.9059699951763412,761,33,42,0,1,2,59543,0.0,0,0,0,0,0,0,0
6bba_ed9377fd,6bba,0.9765057614312888,497,2,11,0,0,0,4352,0.9765057614312888,497,2,11,0,0,0,4352,0.0,0,0,0,0,0,0,0
6bba_edf14583,6bba,0.9280282127805636,734,42,26,0,0,0,50946,0.9280282127805636,734,42,26,0,0,0,50946,0.0,0,0,0,0,0,0,0
6bba_f1fde7e0,6bba,0.9778729034038276,434,3,12,0,0,0,7985,0.9778729034038276,434,3,12,0,0,0,7985,0.0,0,0,0,0,0,0,0
6bba_f20478e9,6bba,0.982036430122602,944,10,19,0,0,1,5244,0.982036430122602,944,10,19,0,0,1,5244,0.0,0,0,0,0,0,0,0
6bba_f8ffd5e7,6bba,0.9163071412785332,356,16,14,0,0,2,31453,0.9163071412785332,356,16,14,0,0,2,31453,0.0,0,0,0,0,0,0,0
6bba_fe670320,6bba,0.9897312284275448,672,5,8,0,0,2,9874,0.9897312284275448,672,5,8,0,0,2,9874,0.0,0,0,0,0,0,0,0
6bba_bb9f20c3,6bba,0.9164150194096308,1796,82,83,0,1,3,22931,0.9164579306242118,1797,83,82,0,1,3,22931,4.291121458099845e-05,1,1,-1,0,0,0,0
44b6_668e0cc7,44b6,0.96000073668955,616,20,15,0,0,0,33926,0.960084395426364,617,21,14,0,0,0,33926,8.365873681404068e-05,1,1,-1,0,0,0,0
6bba_f17befbc,6bba,0.8393162779171652,919,76,96,0,1,0,25861,0.8396037187187083,921,78,94,0,1,0,25861,0.0002874408015430818,2,2,-2,0,0,0,0
6bba_c73a1d11,6bba,0.6461455921948118,544,92,166,0,2,0,24050,0.6465272161664675,545,93,165,0,2,0,24050,0.00038162397165564244,1,1,-1,0,0,0,0
6bba_67ebd073,6bba,0.7858319833702421,390,59,48,0,2,1,15831,0.7862649152115592,391,60,47,0,2,1,15831,0.00043293184131709683,1,1,-1,0,0,0,0
6bba_09961292,6bba,0.9181336323684997,1794,92,77,1,0,3,29678,0.9186891900727868,1796,93,75,1,0,3,29678,0.0005555577042871684,2,1,-2,0,0,0,0
6bba_207c6aaf,6bba,0.6559978483055406,355,67,95,0,3,1,17356,0.6565757571174689,356,68,94,0,3,1,17356,0.0005779088119282072,1,1,-1,0,0,0,0
6bba_283bf9f1,6bba,0.954075365895742,1253,20,35,0,1,0,21705,0.9548367987496093,1254,20,34,0,1,0,21705,0.0007614328538672055,1,0,-1,0,0,0,0
6bba_3fda6b25,6bba,1.0008364050735803,1168,6,11,1,0,0,8326,1.001693285557376,1169,6,10,1,0,0,8326,0.000856880483795619,1,0,-1,0,0,0,0
6bba_57b7cc1e,6bba,0.6553237790344839,1267,310,325,0,1,3,76149,0.6561854581096073,1270,312,322,0,1,3,76149,0.0008616790751233561,3,2,-3,0,0,0,0
6bba_7af54fde,6bba,0.9174273958593332,1041,37,51,0,0,2,10107,0.9183086901877282,1042,37,50,0,0,2,10107,0.0008812943283950103,1,0,-1,0,0,0,0
