edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,dataset,estimated_total,gt_node_recall,matched_nodes,graph_hash,metric_revision,variant,embryo,prediction_sha256,seconds,count_ratio,gt_node_count,exact_duplicate_centers,match_distance_sum_um,match_distance_squared_sum_um2,mean_match_distance_um,gt_division_parents,division_daughters_matched
218,4,3,0,1,0,33822,0.9955555555555555,-0.05456476770839157,0.9688888888888889,0.9741756086046353,44b6_97725144,35774,0.9955555555555555,224,5169bf239bfd995ba2818c451fbe770857d5155d7bf6c7bcca06fae5d892de6e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,39e2e954da3fc2d9e6470b0f771e5a54e8d48edc0bf2a4f9c7440c66c85b811b,1.306093177292496,0.9454352322916084,225,0,392.2976717967174,900.9482421875,1.7513288919496313,0,0
370,2,7,1,0,0,9281,0.9868421052631579,0.22553809586689555,0.9762532981530343,0.9542350671581131,44b6_996155de,7573,0.9868421052631579,375,831465bf918671f358dc618d9437f594d0f42cab5b79b90b24e063ca1304c3fb,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,b9058b6422d2b3984fc70ff0f386cf2b462e6c1185e2780b7a9de0bdc0137288,0.534451896790415,1.2255380958668955,380,0,529.0415406108876,1030.0087890625,1.4107774416290337,1,1
207,17,13,0,1,1,26099,0.9864864864864865,-0.5490609395787619,0.8734177215189873,0.9213736770011831,44b6_9be80b04,57877,0.9864864864864865,219,acee47d6712152fc95379c1d5bc3c1d1fb612ca4e88c8f6f6f736aac640b9e9e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,cbda274f4320c910542f4f9aee025ec11e09b538db5569528d75e2d20ee5e79a,1.2952412678860128,0.45093906042123816,222,0,355.09165479892465,892.0361328125,1.6214230812736286,1,0
244,21,15,0,0,0,39731,1.0,-0.38217640106985135,0.8714285714285714,0.9047325149503728,44b6_9bfa6a0a,64308,1.0,264,36fc9b4af32cdc94daa710a5a03f0cd3defae300010eb14350d5be249b462e9c,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,cd43f41f0fa7c93f86a39f7e02b8986c7c4ca8f2b4d0939dc5cc01882203dd29,1.5802574018016458,0.6178235989301487,264,1,496.3445287447586,1199.833984375,1.8800929119119643,0,0
284,1,2,1,0,1,22022,1.0,-0.04418402777777778,0.9895470383275261,0.9939192557104143,44b6_a21120c2,23040,1.0,296,df7c162fb511ca9f3511852037a6942af530128ceb0545f35960d25364531b5d,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,3dd4823857dedc77621e3753314839522c513d6a920aeec048c472c3f7ae32cd,1.2597685791552067,0.9558159722222223,296,0,435.5658155873223,870.0859375,1.4715061337409536,2,2
376,39,34,0,1,0,46816,0.9975961538461539,-0.22762443700196328,0.8374164810690423,0.8564781265729929,44b6_a2bb48bb,60613,0.9975961538461539,415,57a5f60c51e97ff5fb872d128c842f81522302300abe986591c2889b6cb545b3,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,1de4e08bb293f20cebccb036956f401d8348056ec3071c547b119991db9c4b60,1.834265649318695,0.7723755629980368,416,1,925.3737729400063,2957.0048828125,2.2298163203373647,0,0
203,0,3,0,0,1,15427,0.9904306220095693,-0.3019141137608037,0.9854368932038835,1.0151886238317684,44b6_aaf8b0ea,22099,0.9904306220095693,207,a102c224b75a879e80a13b384cfdf86c9e88233581aa4cd416e600c366f6a91d,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,7ee8bfc059351eced5b9d3139b9ebf84a7915f2a99d03290732700ef31a71e2d,0.8034538133069873,0.6980858862391963,209,0,311.1519014437665,686.5625,1.5031492823370363,1,0
94,1,0,0,1,0,26447,1.0,-0.041914215331111435,0.9894736842105263,0.9936209855169731,44b6_abf82518,27604,1.0,96,fe14333bc7408c434f7a1fcc915920fe971e5c7140a61e0498ee4b15a62b2695,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,760768d95b762e27b3a32ee0bb29024aeb334a566f28d2eabb5ff1bfa55834f2,0.944369344972074,0.9580857846688886,96,0,97.03751011435216,151.0107421875,1.0108073970245017,0,0
154,15,14,0,0,0,37972,0.9647058823529412,-0.3642619163220546,0.8415300546448088,0.872183789679561,44b6_b2c44266,59729,0.9647058823529412,164,89a3f4d18a1e40c73a90864152449bd7ed4ed1bdaa9607cb1fb6233048ad844b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,b53c9b2e088556d917ca6f08f2ad48781e8db4be0fcf3d1a2ae51992a56684e5,1.4590457160957158,0.6357380836779454,170,0,385.3384277518746,1292.5859375,2.34962455946265,0,0
98,5,4,0,0,0,19539,1.0,-0.050813699295603594,0.9158878504672897,0.920541815449504,44b6_c15fded2,20585,1.0,104,610d71cd1fff8f9fa164f16e4f866e8ef2c14378a524be93cf567979cf104ca9,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,9a51a2c387ee1b9fca700acee4b0ebb7ec690b037c6169712efd4ab2d482f776,0.6863021622411907,0.9491863007043964,104,0,162.2206792544741,395.5986328125,1.5598142236007126,0,0
293,36,32,1,1,1,38081,0.987987987987988,-0.19110837333786482,0.8116343490304709,0.8271453610493059,44b6_c50204e0,47078,0.987987987987988,329,3293e74e5b1a1057784c4b8acf8f9d40b9514b48f0de918de610db5401c94f9f,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,6de736cefe2b6ac63ef67684515d9cd18e9d4fc8ba154cc1ee686be2fb55e1a0,2.239614425227046,0.8088916266621352,333,0,708.4268653080472,2199.640625,2.15327314683297,2,2
