dataset,embryo,detector,mean_center_score,changed_centers,mean_realized_shift_um,max_realized_shift_um,node_count_unchanged
6bba_43fea39d,6bba,synthetic,0.37621253728866577,2514,0.20796875021257655,0.5745242597140698,True
6bba_474be664,6bba,real,0.46826791763305664,10318,0.1682859060789318,0.5745242597140698,True
6bba_474be664,6bba,synthetic,0.46881914138793945,9585,0.15477489185026752,0.5745242597140698,True
6bba_48816121,6bba,real,0.4297461211681366,9272,0.16313320946710458,0.5745242597140698,True
6bba_48816121,6bba,synthetic,0.42190292477607727,9622,0.17123137311525674,0.5745242597140698,True
6bba_4aa14c89,6bba,real,0.4549482464790344,1951,0.11858848770374086,0.5745242597140698,True
6bba_4aa14c89,6bba,synthetic,0.46405819058418274,2265,0.13746606632849087,0.5745242597140698,True
6bba_4f99ce20,6bba,real,0.45487892627716064,2432,0.19967693120638164,0.5745242597140698,True
6bba_4f99ce20,6bba,synthetic,0.4165634214878082,2749,0.23082754510343667,0.5745242597140698,True
6bba_4ffd3da3,6bba,real,0.4515080749988556,8329,0.18299353286258768,0.5745242597140698,True
6bba_4ffd3da3,6bba,synthetic,0.45259931683540344,8572,0.18650122949619335,0.5745242597140698,True
6bba_55b7eebe,6bba,real,0.41177862882614136,1695,0.16330565699763885,0.5745242597140698,True
6bba_55b7eebe,6bba,synthetic,0.41580235958099365,1976,0.19134746342273576,0.5745242597140698,True
6bba_55c70843,6bba,real,0.4758988320827484,14620,0.1697914931748116,0.5745242597140698,True
6bba_55c70843,6bba,synthetic,0.47433340549468994,14567,0.1659339002342869,0.5745242597140698,True
6bba_57b7cc1e,6bba,real,0.44094544649124146,27669,0.16065679398405958,0.5745242597140698,True
6bba_57b7cc1e,6bba,synthetic,0.4376535415649414,28561,0.1654376544365559,0.5745242597140698,True
6bba_5a4d9360,6bba,real,0.3865126967430115,2146,0.1709697497205485,0.5745242597140698,True
6bba_5a4d9360,6bba,synthetic,0.3632495403289795,2174,0.17486880014263104,0.5745242597140698,True
6bba_5b28472a,6bba,real,0.4392945170402527,1952,0.14523079970311525,0.5745242597140698,True
6bba_5b28472a,6bba,synthetic,0.42948466539382935,2250,0.1761426382915131,0.5745242597140698,True
6bba_5c039895,6bba,real,0.43016329407691956,2997,0.16417173425127102,0.5745242597140698,True
6bba_5c039895,6bba,synthetic,0.4406753182411194,3535,0.19978297461498595,0.5745242597140698,True
6bba_5c824876,6bba,real,0.4694652855396271,10441,0.18127069456833658,0.5745242597140698,True
6bba_5c824876,6bba,synthetic,0.4700382947921753,10286,0.1802348340212496,0.5745242597140698,True
6bba_5dfe9ad1,6bba,real,0.49757957458496094,11297,0.1631725100263219,0.5745242597140698,True
6bba_5dfe9ad1,6bba,synthetic,0.5070446729660034,13116,0.19269598624834616,0.5745242597140698,True
6bba_5f89039d,6bba,real,0.41714850068092346,1157,0.11311729897604174,0.5745242597140698,True
6bba_5f89039d,6bba,synthetic,0.4023997187614441,1486,0.14631881649014283,0.5745242597140698,True
6bba_61dd1e0d,6bba,real,0.4225025177001953,3600,0.16597714794471216,0.5745242597140698,True
6bba_61dd1e0d,6bba,synthetic,0.4190353751182556,4009,0.18154064437301753,0.5745242597140698,True
6bba_61ecbe65,6bba,real,0.3433372676372528,2263,0.184366617779421,0.5745242597140698,True
6bba_61ecbe65,6bba,synthetic,0.35250627994537354,2561,0.20722254575247737,0.5745242597140698,True
6bba_6321a359,6bba,real,0.43004608154296875,1615,0.15464669981509024,0.5745242597140698,True
6bba_6321a359,6bba,synthetic,0.429635614156723,2050,0.19523572521030408,0.5745242597140698,True
6bba_6479435d,6bba,real,0.46329164505004883,8311,0.14744587030567188,0.5745242597140698,True
6bba_6479435d,6bba,synthetic,0.46808889508247375,8320,0.14937301036428458,0.5745242597140698,True
6bba_67ebd073,6bba,real,0.47135522961616516,5269,0.1456813464606379,0.5745242597140698,True
6bba_67ebd073,6bba,synthetic,0.475222110748291,5408,0.1515230141745417,0.5745242597140698,True
6bba_6ca87370,6bba,real,0.4319261610507965,2233,0.1548286652527589,0.5745242597140698,True
6bba_6ca87370,6bba,synthetic,0.407583087682724,2459,0.17156397130437373,0.5745242597140698,True
6bba_6db0e9b4,6bba,real,0.4419665038585663,10145,0.17544822545949235,0.5745242597140698,True
6bba_6db0e9b4,6bba,synthetic,0.4424761235713959,9755,0.1672633174119225,0.5745242597140698,True
6bba_6feb10f0,6bba,real,0.4587467908859253,6017,0.21960036981058598,0.5745242597140698,True
6bba_6feb10f0,6bba,synthetic,0.4193946421146393,5007,0.17737738945146025,0.5745242597140698,True
6bba_6feeb0b1,6bba,real,0.4773278534412384,3362,0.21834397362152272,0.5745242597140698,True
6bba_6feeb0b1,6bba,synthetic,0.38506409525871277,3079,0.20327284120978031,0.5745242597140698,True
6bba_705ec2c9,6bba,real,0.36843347549438477,2106,0.15658221716503667,0.5745242597140698,True
6bba_705ec2c9,6bba,synthetic,0.3695596754550934,2286,0.17172457281845435,0.5745242597140698,True
6bba_718b21f9,6bba,real,0.44240817427635193,1278,0.13919870197973944,0.5745242597140698,True
6bba_718b21f9,6bba,synthetic,0.40275663137435913,1672,0.1798106986655351,0.5745242597140698,True
6bba_74686d6a,6bba,real,0.46581029891967773,10150,0.16775569213507427,0.5745242597140698,True
6bba_74686d6a,6bba,synthetic,0.4452616274356842,9683,0.15913046107204493,0.5745242597140698,True
6bba_767a1e17,6bba,real,0.4593915641307831,18551,0.17089750171586604,0.5745242597140698,True
6bba_767a1e17,6bba,synthetic,0.4616755545139313,18443,0.1684088873062526,0.5745242597140698,True
6bba_76db78c1,6bba,real,0.44527149200439453,1682,0.1579818418014981,0.5745242597140698,True
6bba_76db78c1,6bba,synthetic,0.4505300223827362,1945,0.18379275881046916,0.5745242597140698,True
6bba_784a78c9,6bba,real,0.4204656481742859,4886,0.17009757210625454,0.5745242597140698,True
6bba_784a78c9,6bba,synthetic,0.4280935823917389,5662,0.1988852706358382,0.5745242597140698,True
6bba_786893ac,6bba,real,0.4771439731121063,17918,0.13433614733168056,0.5745242597140698,True
