variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
F_hgb_geometry_tracklet_r0.8,44b6,71,71,0.8738227081262719,0.047619047619047616,2,16,24,0.9692852902322672,0.9028418932975769,71,0.9076037980594817,18463,1303,1363,1584258,63.42135256761685,0.8,0.8000777726714913,18391,72,392,96,77,-0.004917345053984001
F_hgb_geometry_tracklet_r0.8,6bba,128,128,0.8325368065402727,0.07602339181286549,13,46,112,0.9001036742803827,0.8492553511050238,128,0.8568576902863103,95114,5189,13943,1723068,112.67904850933701,0.8,0.8001032710069899,94745,369,8673,679,305,-0.05473907460315486
F_hgb_geometry_tracklet_r0.8,pooled,199,199,0.8389806094182826,0.07042253521126761,15,62,136,0.9247865623838188,0.8576190079839634,199,0.8646612615050902,113577,6492,15306,3307326,176.10040107695386,0.8,0.8000910567249044,113136,441,9065,775,382,-0.0471127527135522
F_hgb_geometry_tracklet_r0.9,44b6,71,71,0.8841477837172997,0.06382978723404255,3,21,23,0.9823409034056295,0.9060483519954573,71,0.9124313307188615,18690,1313,1136,1782220,70.35410205740482,0.9,0.9000520167867766,18674,16,109,32,23,-8.981239460414958e-05
F_hgb_geometry_tracklet_r0.9,6bba,128,128,0.8771030689308945,0.08421052631578947,16,65,109,0.9520136241316978,0.8859932923832815,128,0.8944143450148605,100459,5478,8598,1938381,117.11296924995258,0.9,0.9000834433451262,100351,108,3067,196,111,-0.01718241987460467
F_hgb_geometry_tracklet_r0.9,pooled,199,199,0.878200686940755,0.08016877637130802,19,86,132,0.9628339097017939,0.8891180171289349,199,0.8971348947660657,119149,6791,9734,3720601,187.4670713073574,0.9,0.9000683893095921,119025,124,3176,228,134,-0.014639119452576677
F_hgb_geometry_tracklet_r0.95,44b6,71,71,0.8860927152317881,0.08333333333333333,4,22,22,0.9849925174311214,0.9043141763440284,71,0.9126475096773617,18732,1314,1094,1881201,73.09444120898843,0.95,0.9500391388444193,18725,7,58,15,7,0.00012636656389608536
F_hgb_geometry_tracklet_r0.95,6bba,128,128,0.8957317019958285,0.08762886597938144,17,69,108,0.9727129758345525,0.9003805634667627,128,0.9091434500647008,102641,5532,6416,2046050,120.19260887801647,0.95,0.9500793338648571,102607,34,811,68,37,-0.0024533148247644077
F_hgb_geometry_tracklet_r0.95,pooled,199,199,0.8942304150181611,0.08677685950413223,21,91,130,0.977094118816243,0.9009932297077679,199,0.909670915658181,121373,6846,7510,3927251,193.2870500870049,0.95,0.9500600795367429,121332,41,869,83,44,-0.002103098560461314
F_hgb_geometry_tracklet_r0.98,44b6,71,71,0.8876749905410518,0.10204081632653061,5,23,21,0.9870743476702518,0.90369571767695,71,0.9138997993096031,18769,1318,1057,1940617,75.29251038609073,0.98,0.9800452495543222,18769,0,14,4,0,0.0013786561961374177
