embryo,model_id,bin,n,mean_score,annotation_rate
44b6,hgb_all_leaf7_ambiguous_excluded,6,55,0.6379076242446899,0.01818181818181818
44b6,hgb_all_leaf7_ambiguous_excluded,7,22,0.7481815218925476,0.0
44b6,hgb_all_leaf7_ambiguous_excluded,8,13,0.8357972502708435,0.0
44b6,hgb_all_leaf7_ambiguous_excluded,9,1,0.9026122689247131,0.0
44b6,hgb_all_leaf7_high_confidence,0,2777900,0.032337747514247894,0.00629900284387487
44b6,hgb_all_leaf7_high_confidence,1,98794,0.1303570568561554,0.014292365933153835
44b6,hgb_all_leaf7_high_confidence,2,10852,0.23518510162830353,0.011702911905639513
44b6,hgb_all_leaf7_high_confidence,3,1907,0.33774474263191223,0.016255899318300997
44b6,hgb_all_leaf7_high_confidence,4,566,0.4381301701068878,0.03180212014134275
44b6,hgb_all_leaf7_high_confidence,5,186,0.5401036143302917,0.005376344086021506
44b6,hgb_all_leaf7_high_confidence,6,106,0.6470752954483032,0.009433962264150943
44b6,hgb_all_leaf7_high_confidence,7,120,0.7450979948043823,0.0
44b6,hgb_all_leaf7_high_confidence,8,63,0.8531948328018188,0.0
44b6,hgb_all_leaf7_high_confidence,9,32,0.9186446666717529,0.0
44b6,hgb_all_leaf7_shuffled,0,2875989,0.0357963927090168,0.006604336803791669
44b6,hgb_all_leaf7_shuffled,1,13114,0.12966078519821167,0.006862894616440445
44b6,hgb_all_leaf7_shuffled,2,1197,0.23357190191745758,0.003341687552213868
44b6,hgb_all_leaf7_shuffled,3,193,0.34099215269088745,0.0
44b6,hgb_all_leaf7_shuffled,4,25,0.4370339512825012,0.0
44b6,hgb_all_leaf7_shuffled,5,8,0.5353845357894897,0.0
44b6,hgb_all_leaf7_synthetic,0,2873141,0.04561280459165573,0.006614711912850779
44b6,hgb_all_leaf7_synthetic,1,15769,0.12908290326595306,0.005073244974316697
44b6,hgb_all_leaf7_synthetic,2,1194,0.23619648814201355,0.002512562814070352
44b6,hgb_all_leaf7_synthetic,3,330,0.3430974781513214,0.0
44b6,hgb_all_leaf7_synthetic,4,74,0.43281829357147217,0.0
44b6,hgb_all_leaf7_synthetic,5,13,0.540556788444519,0.0
44b6,hgb_all_leaf7_synthetic,6,2,0.6552230715751648,0.0
44b6,hgb_all_leaf7_synthetic,7,3,0.7250002026557922,0.0
44b6,hgb_appearance_quality_leaf15,0,2821342,0.027409672737121582,0.006441615373109676
44b6,hgb_appearance_quality_leaf15,1,56878,0.13209035992622375,0.013414677028024895
44b6,hgb_appearance_quality_leaf15,2,8716,0.23894932866096497,0.012849931161083065
44b6,hgb_appearance_quality_leaf15,3,2365,0.33926641941070557,0.009302325581395349
44b6,hgb_appearance_quality_leaf15,4,868,0.4440443217754364,0.012672811059907835
44b6,hgb_appearance_quality_leaf15,5,228,0.5415343046188354,0.013157894736842105
44b6,hgb_appearance_quality_leaf15,6,86,0.6492393612861633,0.03488372093023256
44b6,hgb_appearance_quality_leaf15,7,32,0.7410430908203125,0.0
44b6,hgb_appearance_quality_leaf15,8,7,0.8346043825149536,0.0
44b6,hgb_appearance_quality_leaf15,9,4,0.9255043864250183,0.0
44b6,hgb_appearance_quality_leaf7,0,2825717,0.027982942759990692,0.006438719801027492
44b6,hgb_appearance_quality_leaf7,1,55376,0.13049004971981049,0.013941057497832997
44b6,hgb_appearance_quality_leaf7,2,7107,0.23854675889015198,0.013367102856338822
44b6,hgb_appearance_quality_leaf7,3,1577,0.3392185866832733,0.008877615726062143
44b6,hgb_appearance_quality_leaf7,4,491,0.4389590322971344,0.014256619144602852
44b6,hgb_appearance_quality_leaf7,5,176,0.5402584671974182,0.022727272727272728
44b6,hgb_appearance_quality_leaf7,6,56,0.645691990852356,0.03571428571428571
44b6,hgb_appearance_quality_leaf7,7,15,0.7365401387214661,0.0
44b6,hgb_appearance_quality_leaf7,8,10,0.8264711499214172,0.0
44b6,hgb_appearance_quality_leaf7,9,1,0.9113470315933228,0.0
44b6,hgb_geometry_time_leaf15,0,2862821,0.04709281027317047,0.006149528734070345
44b6,hgb_geometry_time_leaf15,1,25988,0.12023360282182693,0.03101431429890719
44b6,hgb_geometry_time_leaf15,2,881,0.2349296510219574,0.26787741203178206
44b6,hgb_geometry_time_leaf15,3,434,0.3451440930366516,0.391705069124424
44b6,hgb_geometry_time_leaf15,4,283,0.4468851685523987,0.568904593639576
