embryo,direction,model_id,subset,n,prevalence,auroc,average_precision,ap_over_prevalence,brier,interpretation,randomization_unit
44b6,6bba->44b6,hgb_appearance_quality_leaf15,high_confidence,2256020,0.007533621155840817,0.6231594820186429,0.011595752300871315,1.5392003474824492,0.008974771946668625,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_appearance_quality_leaf15,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6417538517209118,0.010955775803643451,1.6559860605399537,0.00782072264701128,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_appearance_quality_leaf7,all,2890526,0.0066036423820439605,0.6451113057502098,0.011142792060551882,1.6873706079012356,0.007708325982093811,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_appearance_quality_leaf7,high_confidence,2256020,0.007533621155840817,0.6256568366577202,0.011765161414560275,1.5616874237747866,0.008862228132784367,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_appearance_quality_leaf7,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6450537273435364,0.011160068470604542,1.6868652803069,0.007720089517533779,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf15,all,2890526,0.0066036423820439605,0.6450392452980238,0.040576578401534634,6.144575380378997,0.008356875739991665,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf15,high_confidence,2256020,0.007533621155840817,0.6352968396572495,0.0426931718219543,5.667018680499255,0.009217082522809505,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf15,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6453146303651539,0.041933898957678566,6.338387475482384,0.008360973559319973,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf7,all,2890526,0.0066036423820439605,0.6561008304830233,0.048750786244460234,7.382408589692721,0.00828741118311882,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf7,high_confidence,2256020,0.007533621155840817,0.6459508414550623,0.05072163086678171,6.732702616384849,0.009149966761469841,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_geometry_time_leaf7,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6563931014662805,0.050670457955578806,7.658934753640117,0.008292353712022305,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_predicted_temporal_leaf15,all,2890526,0.0066036423820439605,0.5673318947494307,0.008287816264327705,1.2550371120736643,0.00893180537968874,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_predicted_temporal_leaf15,high_confidence,2256020,0.007533621155840817,0.5430917652982313,0.008683417861369608,1.152622050106323,0.010098454542458057,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_predicted_temporal_leaf15,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.5672494512305627,0.008300213652178243,1.2545928607757328,0.008943773806095123,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_predicted_temporal_leaf7,all,2890526,0.0066036423820439605,0.5725590517525171,0.008490459617695241,1.2857237152608,0.00886972900480032,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_predicted_temporal_leaf7,high_confidence,2256020,0.007533621155840817,0.5482808682972222,0.008866678382791694,1.1769477385941232,0.010025933384895325,"Matched sparse-GT membership, not true-cell status",
